NOMBRE,CANAL ,AÑO,EPISODIOS,AUDIENCIA,DIRECTORES,REPARTO PRINCIPAL ,
Dueños del paraíso,TVN,2015,69,"3,1 pts de audiencia",Víctor Huerta,"Jorge Zabaleta, Kate del Castillo y José María Torre",
Matriarcas,TVN,2015,141,"Fue topic mundial, pero después decayó",Ítalo Galleani,"Claudia Di Girolamo, Francisco Reyes, Emilio Edwards",
La poseída,TVN,2015,73,"6,9 pts de audiencia. ",Víctor Huerta,"Luciana Echeverría, Jorge Arecheta y Marcelo Alonso",
Valió la pena,T13,2015,73,"4,9 pts de audiencia",Enrique Bravo," Lorena Bosch, Francisco Pérez-Bannen y Cristián Arriagada",
Te doy la vida,MEGA,2016,158,"16,8 pts de audiencia",Claudio López de Lérida,Celine Reymond y Cristián Riquelme,
El camionero,TVN,2016,149,10 pts de audiencia. ,Ítalo Galleani,Marcelo Alonso y María Elena Swett,
Veinteañero a los 40,T13,2016,93,11 pts de audiencia,Germán Barriga,"Francisco Pérez-Bannen, Tamara Acosta y Pablo Macaya",
Sres papis,MEGA,2016,145,Lideró ranking,Patricio González ,Francisco Melo y Jorge Zabaleta,
Ámbar ,MEGA, 2016,158,"16,7 pts de audiencia",Felipe Arratia,Gonzalo Valenzuela y Sigrid Alegría,
Buscando a María,CHV, 2016,67,"6,8 pts de audiencia",Roberto Velásquez ,Isidora Urrejola y Ricardo Fernández ,
Pobre gallo,MEGA, 2016,160,"20,6 puntos de audiencia",Nicolás Alemparte,Álvaro Rudolphy y Paola Volpato,
Amanda,MEGA, 2016,170,"19,8 de audiencia.",Matías Stagnaro,Daniela Ramírez y Carlos Díaz,
La colombiana,TVN, 2017,143,SIN INFO,Germán Barriga,Felipe Braun y María José Illanes,
Preciosas,T13,2017,94,"10,1 pts de audiencia",Herval Abreu,"Loreto Aravena, Pablo Macaya, Paulo Brunetti",
Un diablo con ángel,TVN,2017,70,"9,5 pts de audiencia",Matías Stagnaro,"Benjamín Vicuña, Daniel Muñoz y Elisa Zulueta",
Dime quien fue,TVN,2017,97,"5,8 pts de audiencia",Germán Barriga,Antonia Santa María y Claudia Di Girolamo,
Tranquilo papá,MEGA,2018,187,Más de 16 puntos de audiencia,Claudio López de Lérida,Francisco Melo y Francisca Imboden,
Casa de muñecos,MEGA,2018,128, Más de 20 pts de audiencia,Patricio González ,Gabriela Hernández y Héctor Noguera,
Perdona nuestros pecados,MEGA,2018,312,Más de 28 pts de audiencia,Nicolás Alemparte,"Álvaro Rudolphy, Mario Horton y Mariana di Girolamo",
Soltera otra vez 3,T13,2018,101,9 pts de audiencia,Herval Abreu,"Paz Bascuñan, Pablo Macaya, Cristián Arriagada",
Wena profe,TVN,2018,97,"5,8 pts de audiencia",Francisca Bustamante,Marcelo Alonso y María Elena Swett,
Isla Paraíso,MEGA,2018,233,"22,1 pts  de audiencia.",Matías Stagnaro,Paola Volpato y Francisco Melo,
Si yo fuera rico,MEGA, 2018,172,"15,3 pts de audiencia en toda la emisión.",Víctor Huerta,Jorge Zabaleta y Mariana Loyola,
Amar a morir,TVN, 2019,126,No mucha audiencia ,César Opazo,Felipe Braun y Antonia Zegers,
Río oscuro,T13, 2019,94,"4,4 pts de audiencia",Cristián Mason,"Amparo Noguera, José Antonio Raffo y Mariana Di Girolamo ",
La reina de Franklin,T13, 2019,97,"5,4 pts de audiencia",Diego Rougier,"Javiera contador, Claudia Di Girolamo",
Juegos de poder,MEGA,2019,161,"19,9 pts de audiencia.",Patricio González ,Álvaro Rudolphy y Jorge Zabaleta,
Pacto de sangre,T13,2019,133,"9,7 pts de audiencia",Cristián Mason,"Álvaro Espinoza,Ignacia Baeza,Pablo Macaya,, Néstor Cantillana y Pablo Cerda",
Yo soy Lorenzo,MEGA,2019,150,Estreno más famoso después de 6 años. ,Nicolás Alemparte,Mario Horton y Vivianne Dietz,
